N_VICTIMAS,HH,COMUNA,EDAD,TIPO_DE_CALLE_AVENIDA,TIPO_DE_CALLE_CALLE,TIPO_DE_CALLE_GRAL PAZ,ACUSADO_AUTO,ACUSADO_BICICLETA,ACUSADO_CARGAS,ACUSADO_MOTO,ACUSADO_MULTIPLE,ACUSADO_OBJETO FIJO,ACUSADO_OTRO,ACUSADO_PASAJEROS,ACUSADO_TREN,SEXO_FEMENINO,SEXO_MASCULINO
1,9,12,38,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,21,8,30,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,20,14,79,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1,4,14,26,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,14,1,57,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1,16,1,37,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1,18,10,20,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,14,6,20,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,17,8,30,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1,22,2,58,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,3,3,30,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1,15,10,23,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1,6,8,60,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,23,8,42,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,16,15,53,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1,21,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1,23,3,30,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,17,13,51,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1,6,9,60,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,7,12,40,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,18,4,87,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,20,6,76,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1,22,1,57,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1,22,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,16,10,75,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,0,1,23,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,15,12,70,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1,6,13,35,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,22,5,60,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,11,13,24,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1,3,6,35,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,6,11,29,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,7,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,18,1,80,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,16,3,43,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1,16,11,45,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1,23,12,57,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1,19,9,67,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,23,9,29,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1,21,9,21,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,0,15,19,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,21,1,38,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,8,4,21,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,5,9,53,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,20,9,57,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,9,15,27,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,4,1,24,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,16,9,60,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1,11,14,55,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1,11,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1,20,8,30,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,15,14,43,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,3,1,27,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,6,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,7,9,49,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,9,7,58,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1,15,7,67,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,12,10,30,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,22,10,37,0,1,0,0,0,1,0,0,0,0,0,0,0,1
2,22,10,60,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1,10,8,50,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,11,5,81,1,0,0,0,0,0,0,0,0,0,1,0,1,0
